X,Y,Cluster Size,ADU Value
408,1259,1,130.98916469968177
458,1546,1,110.98916469968177
669,705,1,157.98916469968177
733,1367,1,116.98916469968177
864,1203,1,116.98916469968177
889,1471,1,118.98916469968177
982,1366,1,123.98916469968177
1100,1414,1,110.98916469968177
1155,1142,1,113.98916469968177
1303,154,1,120.98916469968177
1413,1320,1,123.98916469968177
1893,695,1,136.98916469968177
1971,1457,1,113.98916469968177
2001,1383,1,125.98916469968177
109,932,2,166.97832939936353
129,1710,2,180.97832939936353
395,1362,2,109.97832939936353
594,1050,2,157.97832939936353
612,1295,2,128.97832939936353
703,1394,2,114.97832939936353
881,1359,2,128.97832939936353
891,1033,2,122.97832939936353
962,466,2,110.97832939936353
1073,418,2,163.97832939936353
1149,1422,2,125.97832939936353
1411,1300,2,136.97832939936353
1451,465,2,174.97832939936353
1690,1119,2,116.97832939936353
1765,1158,2,126.97832939936353
18,1312,3,129.9674940990453
83,1466,3,116.9674940990453
87,1538,3,130.9674940990453
88,1389,3,120.9674940990453
112,781,3,119.9674940990453
137,1640,3,110.9674940990453
143,1523,3,160.9674940990453
151,778,3,136.9674940990453
177,1442,3,110.9674940990453
220,1494,3,154.9674940990453
230,1316,3,160.9674940990453
246,1437,3,121.9674940990453
276,318,3,133.9674940990453
313,1412,3,142.9674940990453
315,1475,3,113.9674940990453
335,1322,3,111.9674940990453
358,1814,3,145.9674940990453
403,1276,3,163.9674940990453
415,1436,3,119.9674940990453
426,1928,3,140.9674940990453
456,1053,3,119.9674940990453
563,1235,3,127.9674940990453
603,1422,3,110.9674940990453
756,811,3,146.9674940990453
869,1398,3,117.9674940990453
883,122,3,138.9674940990453
957,966,3,185.9674940990453
975,1320,3,126.9674940990453
989,1038,3,125.9674940990453
1061,1246,3,135.9674940990453
1114,1277,3,125.9674940990453
1167,1320,3,157.9674940990453
1221,1407,3,125.9674940990453
1315,665,3,110.9674940990453
1388,1282,3,116.9674940990453
1403,1463,3,115.9674940990453
1408,1285,3,112.9674940990453
1478,745,3,117.9674940990453
1486,1441,3,145.9674940990453
1504,1438,3,142.9674940990453
1525,926,3,121.9674940990453
1606,1430,3,145.9674940990453
1621,1458,3,110.9674940990453
1670,1229,3,117.9674940990453
1843,1197,3,116.9674940990453
1845,1723,3,136.9674940990453
1856,1434,3,113.9674940990453
0,613,4,111.95665879872706
0,817,4,119.95665879872706
3,2,4,114.95665879872706
5,178,4,115.95665879872706
7,1514,4,147.95665879872706
11,1456,4,129.95665879872706
18,1494,4,170.95665879872706
24,1325,4,153.95665879872706
24,1337,4,140.95665879872706
45,1470,4,164.95665879872706
46,1459,4,184.95665879872706
59,1473,4,137.95665879872706
64,847,4,146.95665879872706
86,1404,4,112.95665879872706
90,1438,4,146.95665879872706
93,1255,4,168.95665879872706
109,783,4,114.95665879872706
119,675,4,125.95665879872706
120,1448,4,140.95665879872706
123,864,4,143.95665879872706
152,1478,4,129.95665879872706
156,1285,4,140.95665879872706
160,637,4,134.95665879872706
174,1137,4,131.95665879872706
205,1437,4,129.95665879872706
206,1134,4,129.95665879872706
232,1384,4,124.95665879872706
242,1128,4,147.95665879872706
257,914,4,177.95665879872706
264,1361,4,135.95665879872706
352,1222,4,130.95665879872706
386,1332,4,138.95665879872706
510,1363,4,132.95665879872706
718,1408,4,115.95665879872706
721,1339,4,117.95665879872706
777,1377,4,116.95665879872706
852,667,4,135.95665879872706
907,14,4,128.95665879872706
908,1477,4,110.95665879872706
1006,1317,4,113.95665879872706
1140,1280,4,123.95665879872706
1374,1353,4,145.95665879872706
1462,1806,4,126.95665879872706
1693,984,4,116.95665879872706
1730,1428,4,121.95665879872706
1975,1088,4,150.95665879872706
1992,1333,4,122.95665879872706
